ObjectId	ISO2	ISO3	Indicator	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
83	BY	BLR	TOTAL														1			1	1		1	1					1		1					1	1	1			1	1				
84	BE	BEL	Extreme temperature						1																		1		2	1		1				1			1			1	3	1		
85	BE	BEL	Flood														2	1				1				4	1		1					1	1					1					1	
86	BE	BEL	Storm					1	1					6					1			1	2			1					1	1		2	1		2	1		1		1		1	2	1
87	BE	BEL	TOTAL					1	2					6			2	1	1			2	2			5	2		3	1	1	2		3	2	1	2	1	1	2		2	3	2	3	1
88	BZ	BLZ	Extreme temperature											1																																
89	BZ	BLZ	Flood											1					1													1							1							
90	BZ	BLZ	Storm																			1		1	2				2		1	1		1						1				1		1
91	BZ	BLZ	TOTAL											2					1			1		1	2				2		1	2		1					1	1				1		1
92	BJ	BEN	Drought	1																																										
93	BJ	BEN	Flood			1			1			1			1			1	1	1	1	1	1								1	1	2	1	1	1	1							1	1	1
94	BJ	BEN	Storm																														1													
95	BJ	BEN	TOTAL	1		1		1	1			1			1			1	1	1	1	1	1								1	1	3	1	1	1	2							1	1	1
96	BJ	BEN	Wildfire					1																													1									
97	BM	BMU	Storm						1	1	1		1														1																			
98	BM	BMU	TOTAL						1	1	1		1														1																			
99	BT	BTN	Flood															1						1				1																	1	
100	BT	BTN	Storm															1															1													
101	BT	BTN	TOTAL															2					1	1				1					1												1	
102	BT	BTN	Wildfire																				1																							
103	BO	BOL	Drought				2					1		1				1						1				1				1		1			1	1		1						
104	BO	BOL	Extreme temperature																					1	1						1			1			1									
105	BO	BOL	Flood	1		1	1	1	1	1	1					2					2		1	2	1	1	3			2	2		1	1	1	1	2	2	1	2		1	2	2	7	1
106	BO	BOL	Landslide													1		1		1		1					1								1		1	1					1			
107	BO	BOL	Storm																							1						1														
108	BO	BOL	TOTAL	1		1	3	1	1	1	1	1		1		3		2		1	2	1	2	4	2	3	4	1	1	2	3	2	1	4	2	1	5	4	1	3		1	4	3	7	1
109	BO	BOL	Wildfire																				1			1			1					1									1	1		
110	BA	BIH	Drought																					1			1																			
111	BA	BIH	Extreme temperature																												1		1	1		1										
112	BA	BIH	Flood																						1			2	1				2	2				4	1				2	1	1	1
113	BA	BIH	Landslide																					1																						
114	BA	BIH	Storm																				1						1																	
115	BA	BIH	TOTAL																				1	2	1		1	2	2		1		3	3		1		4	1				2	1	1	1
116	BW	BWA	Drought		1									1																									1				1			
117	BW	BWA	Flood									1							1					1				1					2		1		1				1	1				
118	BW	BWA	Storm																														1													
119	BW	BWA	TOTAL		1							1		1					1					1				1					3		1		1		1		1	1	1			
120	BR	BRA	Drought				1		1		1	1						1				1			1	1		1	1		1			1		1		1						1	1	1
121	BR	BRA	Extreme temperature									1						1						1				1						1												
122	BR	BRA	Flood	2	2		2	5	2	1	2	3	4	2	1	4			3	1	3	5	1	4	3	2	5	2	2	2	3	4	7	3	8	2	5	4	4	2	1	2	7	5	8	11
123	BR	BRA	Landslide				1						3		1	1			2	3			1	1		2					1		1						1			1				
124	BR	BRA	Storm	1		1		1	1				1					1			1				1			1	1			1	1				1		1					1		
125	BR	BRA	TOTAL	3	2	1	4	6	4	1	3	5	8	2	2	5		3	5	4	4	8	3	6	5	5	5	5	4	2	5	5	9	5	8	3	6	5	6	2	1	3	8	7	9	12
126	BR	BRA	Wildfire																			2	1																				1			
127	VG	VGB	Storm																	1																					2					
128	VG	VGB	TOTAL																	1																					2					
129	BN	BRN	TOTAL																			1																								
130	BN	BRN	Wildfire																			1																								
131	BG	BGR	Drought				1																	1																						
132	BG	BGR	Extreme temperature																			1		2					1		1	1		1		2										
133	BG	BGR	Flood																		1					1			5	2	3			1		1		4	1			1			1	1
134	BG	BGR	Storm		1												1						1		1				1									1								
135	BG	BGR	TOTAL		1		1										1				1	1	1	4	2	1			7	2	6	1		2		3		5	1			1			2	1
136	BG	BGR	Wildfire																					1	1						2														1	
137	BF	BFA	Drought	1								1		1					1			1			1										1			1						1		1
138	BF	BFA	Flood					1	1			1						1					1				1			2	1	2	2	1		1	1		1	1	1			3		
139	BF	BFA	TOTAL	1				1	1			2		1				1	1			1	1		1		1			2	1	2	2	1	1	1	1	1	1	1	1			4		1
140	BI	BDI	Drought																				1				1		1			1	1	1												
141	BI	BDI	Flood										1											1		2		1	1	6	2	2	1	2	1			1	1			3	2	2	1	
142	BI	BDI	Landslide																																				1		1		1			
143	BI	BDI	Storm																				1					2		1				1	1									1		
144	BI	BDI	TOTAL										1										2	1		2	1	3	2	7	2	3	2	4	2			1	2		1	3	3	3	1	
145	CV	CPV	Drought	1												1						1				1															1					1
146	CV	CPV	Flood																														1											1		
147	CV	CPV	Storm			1		1																															1							
148	CV	CPV	TOTAL	1		1		1								1						1				1							1						1		1			1		1
149	KH	KHM	Drought								1							1							1	1			1											1						
150	KH	KHM	Flood												1			1		1			2	1	1	1		1	1	2	1			1	1	1	1	1	1			1	1		3	1
151	KH	KHM	Storm																		1												2						1					2	1	1
152	KH	KHM	TOTAL								1				1			2		1	1		2	1	2	2		1	2	2	1		2	1	1	1	1	1	2	1		1	1	2	4	2
153	CM	CMR	Drought											1											1				1							1										1
154	CM	CMR	Flood									1			1			1					1	1	1				1		1	1		1		2	1	1	1		1			1		1
155	CM	CMR	Landslide																								1																1			2
156	CM	CMR	TOTAL									1		1	1			1					1	1	2		1		2		1	1		1		3	1	1	1		1		1	1		4
157	CA	CAN	Drought					1				1																																		
158	CA	CAN	Extreme temperature			1										1																					1	1				1			1	
159	CA	CAN	Flood				1			1	2	1		1			1		1	1	1	1				1	4	2	2	5	1	2	1		1	1	1	1		1	2	1	1	1	1	2
160	CA	CAN	Storm		1				1	1	1		1		1			2	1	1	1	1	2	1	1		2	2	1		2		2	1	2	2	1					1	1	1	1	4
